Metrica,Periodo,Ambito,Italiani,Stranieri
Arrivi,2019-01,Esercizi alberghieri,217566,106392
Arrivi,2019-01,Esercizi extralberghieri,32670,19344
Arrivi,2019-01,Totale,250236,125736
Arrivi,2019-02,Esercizi alberghieri,206312,131602
Arrivi,2019-02,Esercizi extralberghieri,30080,24467
Arrivi,2019-02,Totale,236392,156069
Arrivi,2019-03,Esercizi alberghieri,187026,117622
Arrivi,2019-03,Esercizi extralberghieri,32384,22505
Arrivi,2019-03,Totale,219410,140127
Arrivi,2019-04,Esercizi alberghieri,80100,73999
Arrivi,2019-04,Esercizi extralberghieri,27618,33358
Arrivi,2019-04,Totale,107718,107357
Arrivi,2019-05,Esercizi alberghieri,59603,91203
Arrivi,2019-05,Esercizi extralberghieri,18998,37476
Arrivi,2019-05,Totale,78601,128679
Arrivi,2019-06,Esercizi alberghieri,156685,138321
Arrivi,2019-06,Esercizi extralberghieri,56207,80828
Arrivi,2019-06,Totale,212892,219149
Arrivi,2019-07,Esercizi alberghieri,290847,150715
Arrivi,2019-07,Esercizi extralberghieri,103889,112230
Arrivi,2019-07,Totale,394736,262945
Arrivi,2019-08,Esercizi alberghieri,389471,125862
Arrivi,2019-08,Esercizi extralberghieri,153273,102247
Arrivi,2019-08,Totale,542744,228109
Arrivi,2019-09,Esercizi alberghieri,145883,139032
Arrivi,2019-09,Esercizi extralberghieri,43612,65445
Arrivi,2019-09,Totale,189495,204477
Arrivi,2019-10,Esercizi alberghieri,73989,79424
Arrivi,2019-10,Esercizi extralberghieri,23325,30531
Arrivi,2019-10,Totale,97314,109955
Arrivi,2019-11,Esercizi alberghieri,67408,19146
Arrivi,2019-11,Esercizi extralberghieri,19027,3313
Arrivi,2019-11,Totale,86435,22459
Arrivi,2019-12,Esercizi alberghieri,266280,64964
Arrivi,2019-12,Esercizi extralberghieri,62594,13306
Arrivi,2019-12,Totale,328874,78270
Presenze,2019-01,Esercizi alberghieri,856855,609512
Presenze,2019-01,Esercizi extralberghieri,166168,118708
Presenze,2019-01,Totale,1023023,728220
Presenze,2019-02,Esercizi alberghieri,757841,781245
Presenze,2019-02,Esercizi extralberghieri,121128,154320
Presenze,2019-02,Totale,878969,935565
Presenze,2019-03,Esercizi alberghieri,682086,623691
Presenze,2019-03,Esercizi extralberghieri,133336,123946
Presenze,2019-03,Totale,815422,747637
Presenze,2019-04,Esercizi alberghieri,177915,272358
Presenze,2019-04,Esercizi extralberghieri,104351,140274
Presenze,2019-04,Totale,282266,412632
Presenze,2019-05,Esercizi alberghieri,115285,289388
Presenze,2019-05,Esercizi extralberghieri,78610,140299
Presenze,2019-05,Totale,193895,429687
Presenze,2019-06,Esercizi alberghieri,448995,454970
Presenze,2019-06,Esercizi extralberghieri,199222,354875
Presenze,2019-06,Totale,648217,809845
Presenze,2019-07,Esercizi alberghieri,1492007,535533
Presenze,2019-07,Esercizi extralberghieri,542992,558563
Presenze,2019-07,Totale,2034999,1094096
Presenze,2019-08,Esercizi alberghieri,1960427,447915
Presenze,2019-08,Esercizi extralberghieri,802097,535300
Presenze,2019-08,Totale,2762524,983215
Presenze,2019-09,Esercizi alberghieri,499764,476124
Presenze,2019-09,Esercizi extralberghieri,170552,261670
Presenze,2019-09,Totale,670316,737794
Presenze,2019-10,Esercizi alberghieri,149827,270305
Presenze,2019-10,Esercizi extralberghieri,81959,124442
Presenze,2019-10,Totale,231786,394747
Presenze,2019-11,Esercizi alberghieri,127336,52889
Presenze,2019-11,Esercizi extralberghieri,72541,15671
Presenze,2019-11,Totale,199877,68560
Presenze,2019-12,Esercizi alberghieri,789430,283154
Presenze,2019-12,Esercizi extralberghieri,212276,62899
Presenze,2019-12,Totale,1001706,346053
